,Purchase,WeekofPurchase,StoreID,PriceCH,PriceMM,DiscCH,DiscMM,SpecialCH,SpecialMM,LoyalCH,SalePriceMM,SalePriceCH,PriceDiff,Store7,PctDiscMM,PctDiscCH,ListPriceDiff,STORE
30,CH,246,2,1.89,2.09,0.0,0.0,0,0,0.5,2.09,1.89,0.2,No,0.0,0.0,0.2,2
31,CH,265,7,1.86,2.13,0.37,0.0,1,0,0.6,2.13,1.49,0.64,Yes,0.0,0.198925,0.27,0
32,MM,275,2,1.96,2.18,0.0,0.8,0,1,0.68,1.38,1.96,-0.58,No,0.36697199999999996,0.0,0.22,2
33,MM,232,2,1.69,1.69,0.0,0.0,1,0,0.68,1.69,1.69,0.0,No,0.0,0.0,0.0,2
34,CH,251,3,1.99,2.23,0.0,0.0,0,0,0.544,2.23,1.99,0.24,No,0.0,0.0,0.24,3
35,CH,256,3,1.99,2.29,0.0,0.0,0,0,0.6352,2.29,1.99,0.3,No,0.0,0.0,0.3,3
36,CH,258,1,1.76,2.18,0.0,0.0,0,0,0.70816,2.18,1.76,0.42,No,0.0,0.0,0.42,1
37,CH,277,1,1.99,2.13,0.24,0.0,0,0,0.7952,2.13,1.75,0.38,No,0.0,0.120603,0.14,1
38,CH,271,4,1.99,2.09,0.1,0.4,1,0,0.4,1.69,1.89,-0.2,No,0.191388,0.050251,0.1,4
39,CH,227,4,1.79,1.79,0.0,0.0,0,1,0.920961,1.79,1.79,0.0,No,0.0,0.0,0.0,4
40,CH,229,4,1.79,1.79,0.0,0.0,0,0,0.9367690000000001,1.79,1.79,0.0,No,0.0,0.0,0.0,4
41,CH,230,4,1.79,1.79,0.0,0.0,0,0,0.949415,1.79,1.79,0.0,No,0.0,0.0,0.0,4
42,CH,233,4,1.79,2.09,0.0,0.0,0,0,0.9595319999999999,2.09,1.79,0.3,No,0.0,0.0,0.3,4
43,CH,236,4,1.79,2.09,0.0,0.0,0,0,0.967626,2.09,1.79,0.3,No,0.0,0.0,0.3,4
44,MM,237,4,1.79,2.09,0.0,0.0,0,0,0.9741,2.09,1.79,0.3,No,0.0,0.0,0.3,4
45,CH,240,4,1.79,2.23,0.0,0.0,0,0,0.77928,2.23,1.79,0.44,No,0.0,0.0,0.44,4
46,CH,244,4,1.99,2.23,0.0,0.0,0,0,0.8234239999999999,2.23,1.99,0.24,No,0.0,0.0,0.24,4
47,CH,245,4,1.99,2.23,0.0,0.0,0,0,0.8587389999999999,2.23,1.99,0.24,No,0.0,0.0,0.24,4
48,CH,246,4,1.99,2.23,0.0,0.0,0,0,0.886992,2.23,1.99,0.24,No,0.0,0.0,0.24,4
49,CH,247,4,1.99,2.23,0.0,0.0,0,0,0.909593,2.23,1.99,0.24,No,0.0,0.0,0.24,4
50,MM,248,4,1.99,2.23,0.0,0.0,0,0,0.927675,2.23,1.99,0.24,No,0.0,0.0,0.24,4
51,CH,249,4,1.99,2.23,0.0,0.0,0,0,0.7421399999999999,2.23,1.99,0.24,No,0.0,0.0,0.24,4
52,CH,252,4,1.99,2.23,0.0,0.0,0,0,0.793712,2.23,1.99,0.24,No,0.0,0.0,0.24,4
53,MM,254,4,1.99,2.29,0.0,0.0,1,0,0.8349690000000001,2.29,1.99,0.3,No,0.0,0.0,0.3,4
54,CH,256,4,1.99,2.29,0.0,0.0,0,0,0.667976,2.29,1.99,0.3,No,0.0,0.0,0.3,4
55,CH,256,4,1.99,2.29,0.0,0.0,0,0,0.73438,2.29,1.99,0.3,No,0.0,0.0,0.3,4
56,CH,257,4,1.99,2.29,0.0,0.4,0,1,0.787504,1.89,1.99,-0.1,No,0.174672,0.0,0.3,4
57,CH,258,4,1.99,2.29,0.0,0.0,0,0,0.830003,2.29,1.99,0.3,No,0.0,0.0,0.3,4
58,CH,258,7,1.86,2.18,0.0,0.0,0,0,0.8640030000000001,2.18,1.86,0.32,Yes,0.0,0.0,0.32,0
59,CH,259,4,1.99,2.29,0.0,0.0,0,0,0.891202,2.29,1.99,0.3,No,0.0,0.0,0.3,4
60,CH,260,4,1.99,2.09,0.0,0.0,0,0,0.912962,2.09,1.99,0.1,No,0.0,0.0,0.1,4
61,CH,263,4,1.99,2.09,0.0,0.0,0,0,0.930369,2.09,1.99,0.1,No,0.0,0.0,0.1,4
62,MM,265,4,1.99,2.09,0.1,0.0,0,0,0.9442959999999999,2.09,1.89,0.2,No,0.0,0.050251,0.1,4
63,CH,265,4,1.99,2.09,0.1,0.0,0,0,0.755436,2.09,1.89,0.2,No,0.0,0.050251,0.1,4
64,CH,266,4,1.99,2.09,0.1,0.0,0,0,0.804349,2.09,1.89,0.2,No,0.0,0.050251,0.1,4
65,CH,267,4,1.99,2.09,0.1,0.0,0,0,0.8434790000000001,2.09,1.89,0.2,No,0.0,0.050251,0.1,4
66,MM,269,4,1.99,2.09,0.1,0.0,0,0,0.874783,2.09,1.89,0.2,No,0.0,0.050251,0.1,4
67,MM,270,4,1.99,2.09,0.1,0.0,0,0,0.6998270000000001,2.09,1.89,0.2,No,0.0,0.050251,0.1,4
68,CH,272,4,1.99,2.09,0.0,0.4,0,0,0.5598609999999999,1.69,1.99,-0.3,No,0.191388,0.0,0.1,4
69,CH,272,4,1.99,2.09,0.0,0.4,0,0,0.647889,1.69,1.99,-0.3,No,0.191388,0.0,0.1,4
70,CH,274,4,1.99,2.09,0.0,0.4,0,0,0.7183109999999999,1.69,1.99,-0.3,No,0.191388,0.0,0.1,4
71,CH,275,4,2.09,2.09,0.0,0.4,0,0,0.774649,1.69,2.09,-0.4,No,0.191388,0.0,0.0,4
72,CH,276,4,2.09,2.09,0.2,0.4,0,0,0.8197190000000001,1.69,1.89,-0.2,No,0.191388,0.095694,0.0,4
73,CH,278,4,2.09,2.09,0.2,0.0,0,0,0.855775,2.09,1.89,0.2,No,0.0,0.095694,0.0,4
74,CH,230,7,1.69,1.99,0.0,0.0,0,1,0.68,1.99,1.69,0.3,Yes,0.0,0.0,0.3,0
75,CH,238,4,1.79,2.09,0.0,0.0,0,0,0.7440000000000001,2.09,1.79,0.3,No,0.0,0.0,0.3,4
76,CH,239,4,1.79,2.23,0.0,0.0,0,0,0.7952,2.23,1.79,0.44,No,0.0,0.0,0.44,4
77,CH,251,4,1.99,2.23,0.0,0.0,0,0,0.83616,2.23,1.99,0.24,No,0.0,0.0,0.24,4
78,CH,252,2,1.89,2.09,0.13,0.0,0,0,0.868928,2.09,1.76,0.33,No,0.0,0.06878300000000001,0.2,2
79,CH,255,4,1.99,2.29,0.0,0.0,0,0,0.895142,2.29,1.99,0.3,No,0.0,0.0,0.3,4
80,CH,263,4,1.99,2.09,0.0,0.0,0,0,0.916114,2.09,1.99,0.1,No,0.0,0.0,0.1,4
81,CH,264,4,1.99,2.09,0.1,0.0,0,0,0.932891,2.09,1.89,0.2,No,0.0,0.050251,0.1,4
82,CH,269,4,1.99,2.09,0.1,0.0,0,0,0.946313,2.09,1.89,0.2,No,0.0,0.050251,0.1,4
83,CH,273,4,1.99,2.09,0.0,0.4,0,0,0.95705,1.69,1.99,-0.3,No,0.191388,0.0,0.1,4
84,CH,275,4,2.09,2.09,0.0,0.4,0,0,0.9656399999999999,1.69,2.09,-0.4,No,0.191388,0.0,0.0,4
85,CH,276,2,1.99,2.18,0.0,0.0,0,1,0.972512,2.18,1.99,0.19,No,0.0,0.0,0.19,2
86,CH,277,4,2.09,2.09,0.2,0.4,0,0,0.97801,1.69,1.89,-0.2,No,0.191388,0.095694,0.0,4
87,CH,252,4,1.99,2.23,0.0,0.0,0,0,0.68,2.23,1.99,0.24,No,0.0,0.0,0.24,4
88,CH,275,4,2.09,2.09,0.0,0.4,0,0,0.7440000000000001,1.69,2.09,-0.4,No,0.191388,0.0,0.0,4
89,CH,277,3,2.09,2.09,0.2,0.4,0,0,0.7952,1.69,1.89,-0.2,No,0.191388,0.095694,0.0,3
90,CH,237,4,1.79,2.09,0.0,0.0,0,0,0.5,2.09,1.79,0.3,No,0.0,0.0,0.3,4
91,CH,269,4,1.99,2.09,0.1,0.0,0,0,0.6,2.09,1.89,0.2,No,0.0,0.050251,0.1,4
92,CH,242,4,1.99,2.23,0.0,0.0,0,0,0.5,2.23,1.99,0.24,No,0.0,0.0,0.24,4
93,CH,244,7,1.86,2.09,0.0,0.2,0,0,0.6,1.89,1.86,0.03,Yes,0.095694,0.0,0.23,0
94,CH,241,2,1.75,1.99,0.0,0.3,0,1,0.5,1.69,1.75,-0.06,No,0.150754,0.0,0.24,2
95,CH,277,2,1.99,2.18,0.0,0.0,0,0,0.6,2.18,1.99,0.19,No,0.0,0.0,0.19,2
96,CH,277,7,1.99,2.13,0.5,0.0,0,1,0.4,2.13,1.49,0.64,Yes,0.0,0.251256,0.14,0
97,CH,227,2,1.69,1.69,0.0,0.0,0,0,0.7440000000000001,1.69,1.69,0.0,No,0.0,0.0,0.0,2
98,CH,229,2,1.69,1.69,0.0,0.0,0,0,0.7952,1.69,1.69,0.0,No,0.0,0.0,0.0,2
99,CH,234,2,1.69,1.99,0.0,0.0,0,0,0.83616,1.99,1.69,0.3,No,0.0,0.0,0.3,2
100,CH,236,2,1.75,1.99,0.0,0.0,0,0,0.868928,1.99,1.75,0.24,No,0.0,0.0,0.24,2
101,CH,237,2,1.75,1.99,0.0,0.0,0,0,0.895142,1.99,1.75,0.24,No,0.0,0.0,0.24,2
102,CH,240,2,1.75,1.99,0.0,0.3,0,1,0.916114,1.69,1.75,-0.06,No,0.150754,0.0,0.24,2
103,MM,241,2,1.75,1.99,0.0,0.3,0,1,0.932891,1.69,1.75,-0.06,No,0.150754,0.0,0.24,2
104,CH,243,2,1.86,2.09,0.0,0.0,0,1,0.746313,2.09,1.86,0.23,No,0.0,0.0,0.23,2
105,CH,245,2,1.89,2.09,0.0,0.0,0,0,0.79705,2.09,1.89,0.2,No,0.0,0.0,0.2,2
106,CH,245,1,1.86,2.09,0.17,0.0,0,0,0.8376399999999999,2.09,1.69,0.4,No,0.0,0.09139800000000001,0.23,1
107,CH,248,2,1.89,2.09,0.0,0.0,0,0,0.8701120000000001,2.09,1.89,0.2,No,0.0,0.0,0.2,2
108,CH,248,2,1.89,2.09,0.0,0.0,0,0,0.8960899999999999,2.09,1.89,0.2,No,0.0,0.0,0.2,2
109,CH,249,2,1.89,2.09,0.0,0.0,0,0,0.9168719999999999,2.09,1.89,0.2,No,0.0,0.0,0.2,2
110,CH,249,1,1.86,2.09,0.0,0.0,0,0,0.9334969999999999,2.09,1.86,0.23,No,0.0,0.0,0.23,1
111,MM,251,3,1.99,2.23,0.0,0.0,0,0,0.9467979999999999,2.23,1.99,0.24,No,0.0,0.0,0.24,3
112,CH,253,2,1.89,2.09,0.13,0.0,0,0,0.7574380000000001,2.09,1.76,0.33,No,0.0,0.06878300000000001,0.2,2
113,CH,254,2,1.89,2.09,0.13,0.0,0,0,0.805951,2.09,1.76,0.33,No,0.0,0.06878300000000001,0.2,2
114,CH,255,2,1.89,2.18,0.13,0.0,0,0,0.8447610000000001,2.18,1.76,0.42,No,0.0,0.06878300000000001,0.29,2
115,CH,257,3,1.99,2.29,0.0,0.4,0,1,0.875808,1.89,1.99,-0.1,No,0.174672,0.0,0.3,3
116,CH,257,2,1.86,2.18,0.0,0.0,0,0,0.900647,2.18,1.86,0.32,No,0.0,0.0,0.32,2
117,CH,258,2,1.86,2.18,0.0,0.0,0,0,0.920517,2.18,1.86,0.32,No,0.0,0.0,0.32,2
118,CH,259,3,1.99,2.29,0.0,0.0,0,0,0.936414,2.29,1.99,0.3,No,0.0,0.0,0.3,3
119,CH,259,2,1.86,2.18,0.0,0.4,0,1,0.949131,1.78,1.86,-0.08,No,0.18348599999999998,0.0,0.32,2
120,CH,260,2,1.86,2.18,0.0,0.7,0,0,0.959305,1.48,1.86,-0.38,No,0.321101,0.0,0.32,2
121,CH,261,1,1.76,1.99,0.0,0.0,0,0,0.9674440000000001,1.99,1.76,0.23,No,0.0,0.0,0.23,1
122,CH,261,2,1.86,2.18,0.0,0.0,0,0,0.9739549999999999,2.18,1.86,0.32,No,0.0,0.0,0.32,2
123,CH,263,2,1.86,2.18,0.0,0.0,0,1,0.9791639999999999,2.18,1.86,0.32,No,0.0,0.0,0.32,2
124,MM,264,2,1.86,2.18,0.0,0.0,0,0,0.983331,2.18,1.86,0.32,No,0.0,0.0,0.32,2
125,CH,265,2,1.86,2.18,0.0,0.0,0,0,0.786665,2.18,1.86,0.32,No,0.0,0.0,0.32,2
126,CH,266,1,1.86,1.99,0.0,0.1,0,0,0.829332,1.89,1.86,0.03,No,0.050251,0.0,0.13,1
127,CH,266,2,1.86,2.18,0.0,0.0,0,0,0.863466,2.18,1.86,0.32,No,0.0,0.0,0.32,2
128,CH,267,2,1.86,2.18,0.0,0.4,0,1,0.8907719999999999,1.78,1.86,-0.08,No,0.18348599999999998,0.0,0.32,2
129,CH,270,2,1.86,2.18,0.0,0.0,0,0,0.912618,2.18,1.86,0.32,No,0.0,0.0,0.32,2
130,CH,270,1,1.86,2.18,0.0,0.0,0,0,0.9300940000000001,2.18,1.86,0.32,No,0.0,0.0,0.32,1
131,CH,271,2,1.86,2.18,0.0,0.06,0,0,0.944076,2.12,1.86,0.26,No,0.027523000000000002,0.0,0.32,2
132,CH,272,2,1.86,2.18,0.0,0.06,0,0,0.95526,2.12,1.86,0.26,No,0.027523000000000002,0.0,0.32,2
133,CH,273,7,1.86,2.13,0.0,0.54,0,0,0.964208,1.59,1.86,-0.27,Yes,0.253521,0.0,0.27,0
134,CH,273,1,1.86,2.18,0.0,0.0,0,0,0.971367,2.18,1.86,0.32,No,0.0,0.0,0.32,1
135,CH,274,2,1.96,2.18,0.0,0.8,0,1,0.977093,1.38,1.96,-0.58,No,0.36697199999999996,0.0,0.22,2
136,CH,275,2,1.96,2.18,0.0,0.8,0,1,0.981675,1.38,1.96,-0.58,No,0.36697199999999996,0.0,0.22,2
137,CH,276,7,1.99,2.13,0.0,0.54,0,1,0.98534,1.59,1.99,-0.4,Yes,0.253521,0.0,0.14,0
138,CH,278,2,1.99,2.18,0.0,0.0,0,0,0.9882719999999999,2.18,1.99,0.19,No,0.0,0.0,0.19,2
139,CH,242,3,1.99,2.23,0.0,0.0,0,0,0.6,2.23,1.99,0.24,No,0.0,0.0,0.24,3
140,CH,237,1,1.75,1.99,0.0,0.0,0,0,0.52,1.99,1.75,0.24,No,0.0,0.0,0.24,1
141,CH,251,4,1.99,2.23,0.0,0.0,0,0,0.5,2.23,1.99,0.24,No,0.0,0.0,0.24,4
142,MM,255,4,1.99,2.29,0.0,0.0,0,0,0.6,2.29,1.99,0.3,No,0.0,0.0,0.3,4
143,MM,261,7,1.86,2.13,0.0,0.24,0,0,0.48,1.89,1.86,0.03,Yes,0.112676,0.0,0.27,0
144,CH,277,4,2.09,2.09,0.2,0.4,0,0,0.384,1.69,1.89,-0.2,No,0.191388,0.095694,0.0,4
145,MM,233,7,1.75,1.99,0.0,0.4,1,0,0.5,1.59,1.75,-0.16,Yes,0.201005,0.0,0.24,0
146,MM,236,7,1.75,1.99,0.0,0.4,0,0,0.4,1.59,1.75,-0.16,Yes,0.201005,0.0,0.24,0
147,MM,243,7,1.86,2.09,0.0,0.2,0,0,0.32,1.89,1.86,0.03,Yes,0.095694,0.0,0.23,0
148,MM,244,7,1.86,2.09,0.0,0.2,0,0,0.256,1.89,1.86,0.03,Yes,0.095694,0.0,0.23,0
149,MM,245,7,1.86,2.09,0.0,0.2,0,0,0.2048,1.89,1.86,0.03,Yes,0.095694,0.0,0.23,0
150,MM,252,7,1.86,2.09,0.1,0.0,0,0,0.16384,2.09,1.76,0.33,Yes,0.0,0.053763,0.23,0
151,MM,277,7,1.99,2.13,0.5,0.0,0,1,0.131072,2.13,1.49,0.64,Yes,0.0,0.251256,0.14,0
152,CH,228,4,1.79,1.79,0.0,0.0,0,0,0.83616,1.79,1.79,0.0,No,0.0,0.0,0.0,4
153,CH,230,3,1.79,1.79,0.0,0.0,0,0,0.868928,1.79,1.79,0.0,No,0.0,0.0,0.0,3
154,CH,231,3,1.79,1.79,0.0,0.0,0,0,0.895142,1.79,1.79,0.0,No,0.0,0.0,0.0,3
155,CH,233,1,1.69,1.99,0.0,0.0,0,0,0.916114,1.99,1.69,0.3,No,0.0,0.0,0.3,1
156,CH,263,4,1.99,2.09,0.0,0.0,0,0,0.932891,2.09,1.99,0.1,No,0.0,0.0,0.1,4
157,CH,264,4,1.99,2.09,0.1,0.0,0,0,0.946313,2.09,1.89,0.2,No,0.0,0.050251,0.1,4
158,CH,265,4,1.99,2.09,0.1,0.0,0,0,0.95705,2.09,1.89,0.2,No,0.0,0.050251,0.1,4
159,CH,266,4,1.99,2.09,0.1,0.0,0,0,0.9656399999999999,2.09,1.89,0.2,No,0.0,0.050251,0.1,4
160,CH,267,4,1.99,2.09,0.1,0.0,0,0,0.972512,2.09,1.89,0.2,No,0.0,0.050251,0.1,4
161,CH,269,4,1.99,2.09,0.1,0.0,0,0,0.97801,2.09,1.89,0.2,No,0.0,0.050251,0.1,4
162,CH,270,1,1.86,2.18,0.0,0.0,0,0,0.982408,2.18,1.86,0.32,No,0.0,0.0,0.32,1
163,CH,271,4,1.99,2.09,0.1,0.4,1,0,0.985926,1.69,1.89,-0.2,No,0.191388,0.050251,0.1,4
164,CH,272,4,1.99,2.09,0.0,0.4,0,0,0.988741,1.69,1.99,-0.3,No,0.191388,0.0,0.1,4
165,CH,274,4,1.99,2.09,0.0,0.4,0,0,0.990993,1.69,1.99,-0.3,No,0.191388,0.0,0.1,4
166,CH,276,4,2.09,2.09,0.2,0.4,0,0,0.9927940000000001,1.69,1.89,-0.2,No,0.191388,0.095694,0.0,4
167,CH,277,4,2.09,2.09,0.2,0.4,0,0,0.9942350000000001,1.69,1.89,-0.2,No,0.191388,0.095694,0.0,4
168,CH,278,3,2.09,2.09,0.2,0.0,0,0,0.9953879999999999,2.09,1.89,0.2,No,0.0,0.095694,0.0,3
169,CH,269,2,1.86,2.18,0.0,0.0,0,0,0.6,2.18,1.86,0.32,No,0.0,0.0,0.32,2
170,CH,229,7,1.69,1.69,0.0,0.2,0,1,0.95705,1.49,1.69,-0.2,Yes,0.118343,0.0,0.0,0
171,CH,230,7,1.69,1.99,0.0,0.0,0,1,0.9656399999999999,1.99,1.69,0.3,Yes,0.0,0.0,0.3,0
172,CH,231,4,1.79,1.79,0.0,0.0,0,0,0.972512,1.79,1.79,0.0,No,0.0,0.0,0.0,4
173,CH,233,4,1.79,2.09,0.0,0.0,0,0,0.97801,2.09,1.79,0.3,No,0.0,0.0,0.3,4
174,CH,239,7,1.79,2.09,0.0,0.0,0,0,0.982408,2.09,1.79,0.3,Yes,0.0,0.0,0.3,0
175,CH,240,4,1.79,2.23,0.0,0.0,0,0,0.985926,2.23,1.79,0.44,No,0.0,0.0,0.44,4
176,CH,242,7,1.86,2.09,0.0,0.0,0,0,0.988741,2.09,1.86,0.23,Yes,0.0,0.0,0.23,0
177,CH,243,4,1.99,2.23,0.0,0.0,0,0,0.990993,2.23,1.99,0.24,No,0.0,0.0,0.24,4
178,CH,244,7,1.86,2.09,0.0,0.2,0,0,0.9927940000000001,1.89,1.86,0.03,Yes,0.095694,0.0,0.23,0
179,CH,246,4,1.99,2.23,0.0,0.0,0,0,0.9942350000000001,2.23,1.99,0.24,No,0.0,0.0,0.24,4
180,CH,249,4,1.99,2.23,0.0,0.0,0,0,0.9953879999999999,2.23,1.99,0.24,No,0.0,0.0,0.24,4
181,CH,250,7,1.86,2.09,0.0,0.0,0,0,0.9963110000000001,2.09,1.86,0.23,Yes,0.0,0.0,0.23,0
182,CH,251,4,1.99,2.23,0.0,0.0,0,0,0.997049,2.23,1.99,0.24,No,0.0,0.0,0.24,4
183,CH,254,4,1.99,2.29,0.0,0.0,1,0,0.9976389999999999,2.29,1.99,0.3,No,0.0,0.0,0.3,4
184,CH,255,4,1.99,2.29,0.0,0.0,0,0,0.9981110000000001,2.29,1.99,0.3,No,0.0,0.0,0.3,4
185,CH,257,4,1.99,2.29,0.0,0.4,0,1,0.998489,1.89,1.99,-0.1,No,0.174672,0.0,0.3,4
186,CH,260,4,1.99,2.09,0.0,0.0,0,0,0.998791,2.09,1.99,0.1,No,0.0,0.0,0.1,4
187,CH,261,4,1.99,2.09,0.0,0.0,0,0,0.999033,2.09,1.99,0.1,No,0.0,0.0,0.1,4
188,CH,262,4,1.99,2.09,0.0,0.0,0,0,0.9992260000000001,2.09,1.99,0.1,No,0.0,0.0,0.1,4
189,CH,264,4,1.99,2.09,0.1,0.0,0,0,0.999381,2.09,1.89,0.2,No,0.0,0.050251,0.1,4
190,CH,265,4,1.99,2.09,0.1,0.0,0,0,0.999505,2.09,1.89,0.2,No,0.0,0.050251,0.1,4
191,CH,266,7,1.86,2.13,0.37,0.0,1,0,0.999604,2.13,1.49,0.64,Yes,0.0,0.198925,0.27,0
192,CH,267,7,1.86,2.13,0.0,0.0,1,0,0.999683,2.13,1.86,0.27,Yes,0.0,0.0,0.27,0
193,CH,269,7,1.86,2.13,0.27,0.0,1,0,0.9997459999999999,2.13,1.59,0.54,Yes,0.0,0.14516099999999998,0.27,0
194,CH,271,4,1.99,2.09,0.1,0.4,1,0,0.9997969999999999,1.69,1.89,-0.2,No,0.191388,0.050251,0.1,4
195,CH,272,4,1.99,2.09,0.0,0.4,0,0,0.9998379999999999,1.69,1.99,-0.3,No,0.191388,0.0,0.1,4
196,CH,274,4,1.99,2.09,0.0,0.4,0,0,0.99987,1.69,1.99,-0.3,No,0.191388,0.0,0.1,4
197,CH,275,7,1.99,2.13,0.0,0.54,1,0,0.9998959999999999,1.59,1.99,-0.4,Yes,0.253521,0.0,0.14,0
198,CH,276,4,2.09,2.09,0.2,0.4,0,0,0.9999170000000001,1.69,1.89,-0.2,No,0.191388,0.095694,0.0,4
199,CH,277,7,1.99,2.13,0.5,0.0,0,1,0.999934,2.13,1.49,0.64,Yes,0.0,0.251256,0.14,0
200,CH,278,4,2.09,2.09,0.2,0.0,0,0,0.9999469999999999,2.09,1.89,0.2,No,0.0,0.095694,0.0,4
201,MM,229,7,1.69,1.69,0.0,0.2,0,1,0.68,1.49,1.69,-0.2,Yes,0.118343,0.0,0.0,0
202,CH,230,7,1.69,1.99,0.0,0.0,0,1,0.544,1.99,1.69,0.3,Yes,0.0,0.0,0.3,0
203,CH,231,7,1.69,1.99,0.0,0.0,0,0,0.6352,1.99,1.69,0.3,Yes,0.0,0.0,0.3,0
204,CH,233,7,1.75,1.99,0.0,0.4,1,0,0.70816,1.59,1.75,-0.16,Yes,0.201005,0.0,0.24,0
205,CH,237,7,1.75,1.99,0.0,0.4,0,0,0.766528,1.59,1.75,-0.16,Yes,0.201005,0.0,0.24,0
206,CH,241,7,1.86,2.09,0.0,0.0,0,0,0.813222,2.09,1.86,0.23,Yes,0.0,0.0,0.23,0
207,CH,242,7,1.86,2.09,0.0,0.0,0,0,0.8505780000000001,2.09,1.86,0.23,Yes,0.0,0.0,0.23,0
208,CH,253,7,1.86,2.09,0.1,0.0,0,0,0.8804620000000001,2.09,1.76,0.33,Yes,0.0,0.053763,0.23,0
209,CH,256,7,1.86,2.18,0.0,0.0,0,0,0.9043700000000001,2.18,1.86,0.32,Yes,0.0,0.0,0.32,0
210,CH,258,7,1.86,2.18,0.0,0.0,0,0,0.9234959999999999,2.18,1.86,0.32,Yes,0.0,0.0,0.32,0
211,CH,259,7,1.86,2.18,0.0,0.0,0,0,0.9387969999999999,2.18,1.86,0.32,Yes,0.0,0.0,0.32,0
212,CH,260,7,1.86,2.13,0.0,0.24,0,0,0.9510370000000001,1.89,1.86,0.03,Yes,0.112676,0.0,0.27,0
